Song,Artist(s),year,Month,Day,pri_artist,sec_art_1,sec_art_2
Band on the Run,Paul McCartney & Wings,1974,6,8,Paul McCartney & Wings,None,None
Billy Don't Be a Hero,Bo Donaldson and The Heywoods,1974,6,15,Bo Donaldson and The Heywoods,None,None
Billy Don't Be a Hero,Bo Donaldson and The Heywoods,1974,6,22,Bo Donaldson and The Heywoods,None,None
Sundown,Gordon Lightfoot,1974,6,29,Gordon Lightfoot,None,None
Rock the Boat,The Hues Corporation,1974,7,6,The Hues Corporation,None,None
Rock Your Baby,George McCrae,1974,7,13,George McCrae,None,None
Rock Your Baby,George McCrae,1974,7,20,George McCrae,None,None
Annie's Song,John Denver,1974,7,27,John Denver,None,None
Annie's Song,John Denver,1974,8,3,John Denver,None,None
Feel Like Makin' Love,Roberta Flack,1974,8,10,Roberta Flack,None,None
The Night Chicago Died,Paper Lace,1974,8,17,Paper Lace,None,None
(You're) Having My Baby,Paul Anka and Odia Coates,1974,8,24,Paul Anka and Odia Coates,None,None
(You're) Having My Baby,Paul Anka and Odia Coates,1974,8,31,Paul Anka and Odia Coates,None,None
(You're) Having My Baby,Paul Anka and Odia Coates,1974,9,7,Paul Anka and Odia Coates,None,None
I Shot the Sheriff,Eric Clapton,1974,9,14,Eric Clapton,None,None
"Can't Get Enough of Your Love, Babe",Barry White,1974,9,21,Barry White,None,None
Rock Me Gently,Andy Kim,1974,9,28,Andy Kim,None,None
I Honestly Love You,Olivia Newton-John,1974,10,5,Olivia Newton-John,None,None
I Honestly Love You,Olivia Newton-John,1974,10,12,Olivia Newton-John,None,None
Nothing From Nothing,Billy Preston,1974,10,19,Billy Preston,None,None
Then Came You,Dionne Warwick and The Spinners,1974,10,26,Dionne Warwick and The Spinners,None,None
You Haven't Done Nothin',Stevie Wonder,1974,11,2,Stevie Wonder,None,None
You Ain't Seen Nothing Yet,Bachman-Turner Overdrive,1974,11,9,Bachman-Turner Overdrive,None,None
Whatever Gets You thru the Night,John Lennon,1974,11,16,John Lennon,None,None
I Can Help,Billy Swan,1974,11,23,Billy Swan,None,None
I Can Help,Billy Swan,1974,11,30,Billy Swan,None,None
Kung Fu Fighting,Carl Douglas,1974,12,7,Carl Douglas,None,None
Kung Fu Fighting,Carl Douglas,1974,12,14,Carl Douglas,None,None
Cat's in the Cradle,Harry Chapin,1974,12,21,Harry Chapin,None,None
Angie Baby,Helen Reddy,1974,12,28,Helen Reddy,None,None
Lucy in the Sky with Diamonds,Elton John,1975,1,4,Elton John,None,None
Lucy in the Sky with Diamonds,Elton John,1975,1,11,Elton John,None,None
Mandy,Barry Manilow,1975,1,18,Barry Manilow,None,None
Please Mr. Postman,The Carpenters,1975,1,25,The Carpenters,None,None
Laughter in the Rain,Neil Sedaka,1975,2,1,Neil Sedaka,None,None
Fire,Ohio Players,1975,2,8,Ohio Players,None,None
You're No Good,Linda Ronstadt,1975,2,15,Linda Ronstadt,None,None
Pick Up the Pieces,Average White Band,1975,2,22,Average White Band,None,None
Best of My Love,Eagles,1975,3,1,Eagles,None,None
Have You Never Been Mellow,Olivia Newton-John,1975,3,8,Olivia Newton-John,None,None
Black Water,The Doobie Brothers,1975,3,15,The Doobie Brothers,None,None
My Eyes Adored You,Frankie Valli,1975,3,22,Frankie Valli,None,None
Lady Marmalade,Labelle,1975,3,29,Labelle,None,None
Lovin' You,Minnie Riperton,1975,4,5,Minnie Riperton,None,None
Philadelphia Freedom,Elton John Band,1975,4,12,Elton John Band,None,None
Philadelphia Freedom,Elton John Band,1975,4,19,Elton John Band,None,None
(Hey Won't You Play) Another Somebody Done Somebody Wrong Song,B. J. Thomas,1975,4,26,B. J. Thomas,None,None
He Don't Love You (Like I Love You),Tony Orlando and Dawn,1975,5,3,Tony Orlando and Dawn,None,None
He Don't Love You (Like I Love You),Tony Orlando and Dawn,1975,5,10,Tony Orlando and Dawn,None,None
He Don't Love You (Like I Love You),Tony Orlando and Dawn,1975,5,17,Tony Orlando and Dawn,None,None
Shining Star,"Earth, Wind & Fire",1975,5,24,Earth,Wind & Fire,None
Before the Next Teardrop Falls,Freddy Fender,1975,5,31,Freddy Fender,None,None
Thank God I'm a Country Boy,John Denver,1975,6,7,John Denver,None,None
Sister Golden Hair,America,1975,6,14,America,None,None
Love Will Keep Us Together,Captain & Tennille,1975,6,21,Captain & Tennille,None,None
Love Will Keep Us Together,Captain & Tennille,1975,6,28,Captain & Tennille,None,None
Love Will Keep Us Together,Captain & Tennille,1975,7,5,Captain & Tennille,None,None
Love Will Keep Us Together,Captain & Tennille,1975,7,12,Captain & Tennille,None,None
Listen to What the Man Said,Wings,1975,7,19,Wings,None,None
The Hustle,Van McCoy and the Soul City Symphony,1975,7,26,Van McCoy and the Soul City Symphony,None,None
One of These Nights,Eagles,1975,8,2,Eagles,None,None
Jive Talkin',Bee Gees,1975,8,9,Bee Gees,None,None
Jive Talkin',Bee Gees,1975,8,16,Bee Gees,None,None
Fallin' in Love,"Hamilton, Joe Frank & Reynolds",1975,8,23,Hamilton,Joe Frank & Reynolds,None
Get Down Tonight,KC and the Sunshine Band,1975,8,30,KC and the Sunshine Band,None,None
Rhinestone Cowboy,Glen Campbell,1975,9,6,Glen Campbell,None,None
Rhinestone Cowboy,Glen Campbell,1975,9,13,Glen Campbell,None,None
Fame,David Bowie,1975,9,20,David Bowie,None,None
I'm Sorry,John Denver,1975,9,27,John Denver,None,None
Fame,David Bowie,1975,10,4,David Bowie,None,None
Bad Blood,Neil Sedaka,1975,10,11,Neil Sedaka,None,None
Bad Blood,Neil Sedaka,1975,10,18,Neil Sedaka,None,None
Bad Blood,Neil Sedaka,1975,10,25,Neil Sedaka,None,None
Island Girl,Elton John,1975,11,1,Elton John,None,None
Island Girl,Elton John,1975,11,8,Elton John,None,None
Island Girl,Elton John,1975,11,15,Elton John,None,None
That's the Way (I Like It),KC and the Sunshine Band,1975,11,22,KC and the Sunshine Band,None,None
"Fly, Robin, Fly",Silver Convention,1975,11,29,Silver Convention,None,None
"Fly, Robin, Fly",Silver Convention,1975,12,6,Silver Convention,None,None
"Fly, Robin, Fly",Silver Convention,1975,12,13,Silver Convention,None,None
That's the Way (I Like It),KC and the Sunshine Band,1975,12,20,KC and the Sunshine Band,None,None
Let's Do It Again,The Staple Singers,1975,12,27,The Staple Singers,None,None
Saturday Night,Bay City Rollers,1976,1,3,Bay City Rollers,None,None
Convoy,C.W. McCall,1976,1,10,C.W. McCall,None,None
I Write the Songs,Barry Manilow,1976,1,17,Barry Manilow,None,None
Theme from Mahogany (Do You Know Where You're Going To),Diana Ross,1976,1,24,Diana Ross,None,None
