Song,Artist(s),year,Month,Day,pri_artist,sec_art_1,sec_art_2,SongTitle,PriArtName
my ding-a-ling,Chuck Berry,1972,10,28,chuck berry,None,None,My Ding-a-Ling,Chuck Berry
i can see clearly now,Johnny Nash,1972,11,4,johnny nash,None,None,I Can See Clearly Now,Johnny Nash
i can see clearly now,Johnny Nash,1972,11,11,johnny nash,None,None,I Can See Clearly Now,Johnny Nash
i can see clearly now,Johnny Nash,1972,11,18,johnny nash,None,None,I Can See Clearly Now,Johnny Nash
i can see clearly now,Johnny Nash,1972,11,25,johnny nash,None,None,I Can See Clearly Now,Johnny Nash
papa was a rollin stone,The Temptations,1972,12,2,the temptations,None,None,Papa Was a Rollin' Stone,The Temptations
i am woman,Helen Reddy,1972,12,9,helen reddy,None,None,I Am Woman,Helen Reddy
me and mrs jones,Billy Paul,1972,12,16,billy paul,None,None,Me and Mrs. Jones,Billy Paul
me and mrs jones,Billy Paul,1972,12,23,billy paul,None,None,Me and Mrs. Jones,Billy Paul
me and mrs jones,Billy Paul,1972,12,30,billy paul,None,None,Me and Mrs. Jones,Billy Paul
youre so vain,Carly Simon,1973,1,6,carly simon,None,None,You're So Vain,Carly Simon
youre so vain,Carly Simon,1973,1,13,carly simon,None,None,You're So Vain,Carly Simon
youre so vain,Carly Simon,1973,1,20,carly simon,None,None,You're So Vain,Carly Simon
superstition,Stevie Wonder,1973,1,27,stevie wonder,None,None,Superstition,Stevie Wonder
crocodile rock,Elton John,1973,2,3,elton john,None,None,Crocodile Rock,Elton John
crocodile rock,Elton John,1973,2,10,elton john,None,None,Crocodile Rock,Elton John
crocodile rock,Elton John,1973,2,17,elton john,None,None,Crocodile Rock,Elton John
killing me softly with his song,Roberta Flack,1973,2,24,roberta flack,None,None,Killing Me Softly with His Song,Roberta Flack
killing me softly with his song,Roberta Flack,1973,3,3,roberta flack,None,None,Killing Me Softly with His Song,Roberta Flack
killing me softly with his song,Roberta Flack,1973,3,10,roberta flack,None,None,Killing Me Softly with His Song,Roberta Flack
killing me softly with his song,Roberta Flack,1973,3,17,roberta flack,None,None,Killing Me Softly with His Song,Roberta Flack
love train,The O'Jays,1973,3,24,the ojays,None,None,Love Train,The O'Jays
killing me softly with his song,Roberta Flack,1973,3,31,roberta flack,None,None,Killing Me Softly with His Song,Roberta Flack
the night the lights went out in georgia,Vicki Lawrence,1973,4,7,vicki lawrence,None,None,The Night the Lights Went Out in Georgia,Vicki Lawrence
the night the lights went out in georgia,Vicki Lawrence,1973,4,14,vicki lawrence,None,None,The Night the Lights Went Out in Georgia,Vicki Lawrence
tie a yellow ribbon round the ole oak tree,"Dawn , Tony Orlando",1973,4,21,dawn,Tony Orlando,None,Tie a Yellow Ribbon Round the Ole Oak Tree,Dawn 
tie a yellow ribbon round the ole oak tree,"Dawn , Tony Orlando",1973,4,28,dawn,Tony Orlando,None,Tie a Yellow Ribbon Round the Ole Oak Tree,Dawn 
tie a yellow ribbon round the ole oak tree,"Dawn , Tony Orlando",1973,5,5,dawn,Tony Orlando,None,Tie a Yellow Ribbon Round the Ole Oak Tree,Dawn 
tie a yellow ribbon round the ole oak tree,"Dawn , Tony Orlando",1973,5,12,dawn,Tony Orlando,None,Tie a Yellow Ribbon Round the Ole Oak Tree,Dawn 
you are the sunshine of my life,Stevie Wonder,1973,5,19,stevie wonder,None,None,You Are the Sunshine of My Life,Stevie Wonder
frankenstein,The Edgar Winter Group,1973,5,26,the edgar winter group,None,None,Frankenstein,The Edgar Winter Group
my love,Paul McCartney & Wings,1973,6,2,paul mccartney and wings,None,None,My Love,Paul McCartney & Wings
my love,Paul McCartney & Wings,1973,6,9,paul mccartney and wings,None,None,My Love,Paul McCartney & Wings
my love,Paul McCartney & Wings,1973,6,16,paul mccartney and wings,None,None,My Love,Paul McCartney & Wings
